category,product_name,product_hier_1,product_hier_2,product_hier_3,product_hier_4,year,period_type,period,units,value
Physical,CRUDE,Physical Premiums,Regional vs Dated Brent,,,2019,month,6,bbl,
Physical,CRUDE,Physical Premiums,US vs Dated Brent,,,2019,month,6,bbl,
Physical,CRUDE,Physical Premiums,WAF vs Dated Brent,,,2019,month,6,bbl,
Physical,HEAVY DISTILLATES,Physical Premiums,FCCU Feed Premium vs Dated Brent,,,2019,month,6,bbl,12.0
Physical,HEAVY DISTILLATES,Physical Premiums,Clarified Oil Premium vs MOPS HSFO180,,,2019,month,6,mt,0.0
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,North Asia,Term,2019,month,6,bbl,-0.2
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,North Asia,Spot,2019,month,6,bbl,-0.6
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,North Asia,Prompt,2019,month,6,bbl,0.4
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,India,Term,2019,month,6,bbl,-0.65
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,India,Spot,2019,month,6,bbl,-0.4
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,India,Prompt,2019,month,6,bbl,-0.8500000000000001
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,Singapore,Term,2019,month,6,bbl,-0.2
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,Singapore,Spot,2019,month,6,bbl,0.1
Physical,MIDDLE DISTILLATES,Physical Premiums,Diesel 10ppm Premiums vs MOPS 10ppm,Singapore,Prompt,2019,month,6,bbl,0.5
Physical,MIDDLE DISTILLATES,Physical Premiums,Jet Premiums vs MOPS Jet,North Asia,Term,2019,month,6,bbl,-0.15
Physical,MIDDLE DISTILLATES,Physical Premiums,Jet Premiums vs MOPS Jet,North Asia,Spot,2019,month,6,bbl,-0.1
Physical,MIDDLE DISTILLATES,Physical Premiums,Jet Premiums vs MOPS Jet,North Asia,Prompt,2019,month,6,bbl,0.09999999999999998
